mode,topic,candidates,ballots,p50,p90,p95,p99,p999,perfect_four
daily,Things Better When You're Drunk,100,10000,29.08,36.63,40,40,40,Things Better When You're Drunk Candidate 001 | Things Better When You're Drunk Candidate 002 | Things Better When You're Drunk Candidate 003 | Things Better When You're Drunk Candidate 004
daily,Things You'd Buy If You Won the Lottery,100,10000,28.97,37.11,40,40,40,Things You'd Buy If You Won the Lottery Candidate 001 | Things You'd Buy If You Won the Lottery Candidate 002 | Things You'd Buy If You Won the Lottery Candidate 003 | Things You'd Buy If You Won the Lottery Candidate 004
daily,Best Excuses for Being Late,100,10000,29.5,37.5,38.1,40,40,Best Excuses for Being Late Candidate 001 | Best Excuses for Being Late Candidate 002 | Best Excuses for Being Late Candidate 003 | Best Excuses for Being Late Candidate 004
daily,Things You Don't Want to Hear on a First Date,100,10000,28.94,37.43,40,40,40,Things You Don't Want to Hear on a First Date Candidate 001 | Things You Don't Want to Hear on a First Date Candidate 002 | Things You Don't Want to Hear on a First Date Candidate 003 | Things You Don't Want to Hear on a First Date Candidate 004
daily,Things You'd Hate to Step On Barefoot,100,10000,29.62,38.34,40,40,40,Things You'd Hate to Step On Barefoot Candidate 001 | Things You'd Hate to Step On Barefoot Candidate 002 | Things You'd Hate to Step On Barefoot Candidate 003 | Things You'd Hate to Step On Barefoot Candidate 004
daily,Things That Immediately Ruin Your Day,100,10000,28.71,36.98,38.07,40,40,Things That Immediately Ruin Your Day Candidate 001 | Things That Immediately Ruin Your Day Candidate 002 | Things That Immediately Ruin Your Day Candidate 003 | Things That Immediately Ruin Your Day Candidate 004
daily,Things That Make a Great Tailgate,100,10000,28.93,37.06,40,40,40,Things That Make a Great Tailgate Candidate 001 | Things That Make a Great Tailgate Candidate 002 | Things That Make a Great Tailgate Candidate 003 | Things That Make a Great Tailgate Candidate 004
daily,Things You Pretend to Understand,100,10000,29.03,37.55,39.31,40,40,Things You Pretend to Understand Candidate 001 | Things You Pretend to Understand Candidate 002 | Things You Pretend to Understand Candidate 003 | Things You Pretend to Understand Candidate 004
daily,Things You Lose Constantly,100,10000,29.2,37.28,40,40,40,Things You Lose Constantly Candidate 001 | Things You Lose Constantly Candidate 002 | Things You Lose Constantly Candidate 003 | Things You Lose Constantly Candidate 004
daily,Things That Feel Like a Scam,100,10000,28.71,37.19,40,40,40,Things That Feel Like a Scam Candidate 001 | Things That Feel Like a Scam Candidate 002 | Things That Feel Like a Scam Candidate 003 | Things That Feel Like a Scam Candidate 004
daily,Things That Make You Feel Old,100,10000,29.29,36.82,38.38,40,40,Things That Make You Feel Old Candidate 001 | Things That Make You Feel Old Candidate 002 | Things That Make You Feel Old Candidate 003 | Things That Make You Feel Old Candidate 004
daily,Worst Things to Forget at Home,100,10000,29.57,37.9,38.85,40,40,Worst Things to Forget at Home Candidate 001 | Worst Things to Forget at Home Candidate 002 | Worst Things to Forget at Home Candidate 003 | Worst Things to Forget at Home Candidate 004
daily,Things You Do When Nobody Is Watching,100,10000,29.04,37.58,38.73,40,40,Things You Do When Nobody Is Watching Candidate 001 | Things You Do When Nobody Is Watching Candidate 002 | Things You Do When Nobody Is Watching Candidate 003 | Things You Do When Nobody Is Watching Candidate 004
daily,Things You'd Never Want as a Roommate,100,10000,29.37,37.09,40,40,40,Things You'd Never Want as a Roommate Candidate 001 | Things You'd Never Want as a Roommate Candidate 002 | Things You'd Never Want as a Roommate Candidate 003 | Things You'd Never Want as a Roommate Candidate 004
